GUID1;GUID2;PROFILE1;PROFILE2;MATERIAL1;MATERIAL2;CLASS1;CLASS2;ANGLE;PART1_WDITH;PART2_WDITH;PART1_HEIGHT;PART2_HEIGHT;PART1_LENGTH;PART2_LENGTH;PART1_POINTS;PART2_POINTS;CONNECTION_FIRST_POINT;CONNECTION_SECOND_POINT;PART1_COG;PART2_COG;PLANE1_X_START;PLANE1_X_OVERLAP;PLANE1_X_END;PLANE1_Y_START;PLANE1_Y_OVERLAP;PLANE1_Y_END;PLANE1_Z_START;PLANE1_Z_OVERLAP;PLANE1_Z_END;PLANE2_X_START;PLANE2_X_OVERLAP;PLANE2_X_END;PLANE2_Y_START;PLANE2_Y_OVERLAP;PLANE2_Y_END;PLANE2_Z_START;PLANE2_Z_OVERLAP;PLANE2_Z_END
5487d53a-d20a-4a9a-b7a8-9c840d417d59;fe0963fb-f509-4134-9b39-01b127da51e1;326940;326940;ALUMINIUM;ALUMINIUM;3;3;0;215;215;60;60;765;730;{65992.02569, 108345.173329, 23770}|{65197.02569, 108345.173329, 23770};{65197.02569, 108345.173329, 23770}|{64437.02569, 108345.173329, 23770};{65197.02569, 108130.171765, 23770};{65197.02569, 108345.171765, 23770};{65594.52569, 108237.671765, 23770};{64817.02569, 108237.671765, 23770};795.0;-30.0;760.0;0;215;0;0;60;0;795.0;-30.0;760.0;0;215;0;0;60;0
7d78d850-4fb6-4652-bebf-a5f7803eb546;fe0963fb-f509-4134-9b39-01b127da51e1;326940;326940;ALUMINIUM;ALUMINIUM;3;3;0;215;215;60;60;765;730;{64437.02569, 108345.173329, 23770}|{63642.02569, 108345.173329, 23770};{65197.02569, 108345.173329, 23770}|{64437.02569, 108345.173329, 23770};{64437.02569, 108130.171765, 23770};{64437.02569, 108345.171765, 23770};{64039.52569, 108237.671765, 23770};{64817.02569, 108237.671765, 23770};760;-30.0;795;0;215;0;0;60;0;760;-30.0;795;0;215;0;0;60;0
7d78d850-4fb6-4652-bebf-a5f7803eb546;e9b5dfc5-6b53-498a-b5ac-34a1cf887af6;326940;326940;ALUMINIUM;ALUMINIUM;3;3;0;215;215;60;60;765;1670;{64437.02569, 108345.173329, 23770}|{63642.02569, 108345.173329, 23770};{63642.02569, 108345.173329, 23770}|{61942.02569, 108345.173329, 23770};{63642.02569, 108130.171765, 23770};{63642.02569, 108345.171765, 23770};{64039.52569, 108237.671765, 23770};{62792.02569, 108237.671765, 23770};795;-30.0;1700;0;215;0;0;60;0;795;-30.0;1700;0;215;0;0;60;0
7e2e2600-1b62-4352-bfe6-d53ae45a1401;b0259f98-2d18-4565-856e-e2689af54711;326940;326940;ALUMINIUM;ALUMINIUM;3;3;0;215;215;60;60;765;730;{70042.02569, 108345.173329, 22100}|{69247.02569, 108345.173329, 22100};{69247.02569, 108345.173329, 22100}|{68487.02569, 108345.173329, 22100};{69247.02569, 108130.171765, 22100};{69247.02569, 108345.171765, 22100};{69644.52569, 108237.671765, 22100};{68867.02569, 108237.671765, 22100};795;-30.0;760;0;215;0;0;60;0;795;-30.0;760;0;215;0;0;60;0
7e2e2600-1b62-4352-bfe6-d53ae45a1401;8eddf270-5002-4cd3-8b31-cdff1bf84bc1;326940;536580;ALUMINIUM;ALUMINIUM;3;3;90;215;216;60;60;765;4025;{70042.02569, 108345.173329, 22100}|{69247.02569, 108345.173329, 22100};{70042.02569, 108345.173329, 18880}|{70042.02569, 108345.173329, 22905};{70019.52569, 108130.171765, 22100};{70019.52569, 108345.171765, 22100};{69644.52569, 108237.671765, 22100};{70042.02569, 108237.173329, 20892.5};45;15;750.0;0.001564;215;0.998436;3190;60;775;3190;60;775;0.001564;215;0.998436;750.0;15;45
7e2e2600-1b62-4352-bfe6-d53ae45a1401;c1cd541e-1a14-4e12-bdab-c3829e739887;326940;536580;ALUMINIUM;ALUMINIUM;3;3;90;215;216;60;60;765;4025;{70042.02569, 108345.173329, 22100}|{69247.02569, 108345.173329, 22100};{69247.02569, 108345.173329, 18880}|{69247.02569, 108345.173329, 22905};{69269.52569, 108130.171765, 22100};{69269.52569, 108345.171765, 22100};{69644.52569, 108237.671765, 22100};{69247.02569, 108237.173329, 20892.5};750;15.0;45.0;0.001564;215;0.998436;3190;60;775;3190;60;775;0.001564;215;0.998436;45.0;15.0;750
554221d8-73db-4a25-972d-5fcc7193ae7c;b0259f98-2d18-4565-856e-e2689af54711;326940;326940;ALUMINIUM;ALUMINIUM;3;3;0;215;215;60;60;765;730;{68487.02569, 108345.173329, 22100}|{67692.02569, 108345.173329, 22100};{69247.02569, 108345.173329, 22100}|{68487.02569, 108345.173329, 22100};{68487.02569, 108130.171765, 22100};{68487.02569, 108345.171765, 22100};{68089.52569, 108237.671765, 22100};{68867.02569, 108237.671765, 22100};760;-30.0;795;0;215;0;0;60;0;760;-30.0;795;0;215;0;0;60;0
b0259f98-2d18-4565-856e-e2689af54711;c1cd541e-1a14-4e12-bdab-c3829e739887;326940;536580;ALUMINIUM;ALUMINIUM;3;3;90;215;216;60;60;730;4025;{69247.02569, 108345.173329, 22100}|{68487.02569, 108345.173329, 22100};{69247.02569, 108345.173329, 18880}|{69247.02569, 108345.173329, 22905};{69224.52569, 108130.171765, 22100};{69224.52569, 108345.171765, 22100};{68867.02569, 108237.671765, 22100};{69247.02569, 108237.173329, 20892.5};45;15;715.0;0.001564;215;0.998436;3190;60;775;3190;60;775;0.001564;215;0.998436;715.0;15;45
b0259f98-2d18-4565-856e-e2689af54711;c44f6754-31e6-4dca-8fd7-d3ea356b5cf1;326940;536580;ALUMINIUM;ALUMINIUM;3;3;90;215;216;60;60;730;4025;{69247.02569, 108345.173329, 22100}|{68487.02569, 108345.173329, 22100};{68487.02569, 108345.173329, 18880}|{68487.02569, 108345.173329, 22905};{68509.52569, 108130.171765, 22100};{68509.52569, 108345.171765, 22100};{68867.02569, 108237.671765, 22100};{68487.02569, 108237.173329, 20892.5};715;15.0;45.0;0.001564;215;0.998436;3190;60;775;3190;60;775;0.001564;215;0.998436;45.0;15.0;715
51136a5e-fa3a-4e07-8389-ed3a7e47a301;554221d8-73db-4a25-972d-5fcc7193ae7c;326940;326940;ALUMINIUM;ALUMINIUM;3;3;0;215;215;60;60;1670;765;{67692.02569, 108345.173329, 22100}|{65992.02569, 108345.173329, 22100};{68487.02569, 108345.173329, 22100}|{67692.02569, 108345.173329, 22100};{67692.02569, 108130.171765, 22100};{67692.02569, 108345.171765, 22100};{66842.02569, 108237.671765, 22100};{68089.52569, 108237.671765, 22100};795;-30.0;1700;0;215;0;0;60;0;795;-30.0;1700;0;215;0;0;60;0
