GUID1;GUID2;PROFILE1;PROFILE2;MATERIAL1;MATERIAL2;CLASS1;CLASS2;ANGLE;PLANE1_X_OVERLAP;PLANE2_X_OVERLAP;PART1_WDITH;PART2_WDITH;PLANE1_Y_OVERLAP;PLANE2_Y_OVERLAP;PLANE1_Z_OVERLAP;PLANE2_Z_OVERLAP;PART1_HEIGHT;PART2_HEIGHT;PART1_LENGTH;PART2_LENGTH;PART1_POINTS;PART2_POINTS;CONNECTION_FIRST_POINT;CONNECTION_SECOND_POINT
8fca7d5e-7375-4f12-b253-f98d291d0566;a3a7c2f0-2291-4fbb-9516-64ccd902c043;UPB265(265X1200);UPB265(265X1200);C45/55;C45/55;12;12;0;1909;1909;1200;1200;0;0;265;265;265;265;1909;1909;{115084.876598, 271844.701587, 49290.000763}|{115084.876642, 269935.701587, 49290.000763};{116284.876598, 271844.701615, 49290.000763}|{116284.876642, 269935.701615, 49290.000763};{115684.876598, 271844.701297, 49157.500763};{115684.876642, 269935.701601, 49157.500763}
8fca7d5e-7375-4f12-b253-f98d291d0566;9fad3eb1-c062-4be0-9be3-90d6c8b84083;UPB265(265X1200);UPB265(265X1200);C45/55;C45/55;12;12;0;-140;-140;1200;1200;1200;1200;265;265;265;265;1909;5860;{115084.876598, 271844.701587, 49290.000763}|{115084.876642, 269935.701587, 49290.000763};{115084.877109, 269795.704261, 49290.000763}|{115084.877247, 263935.704261, 49290.000763};{115684.877108, 269865.702937, 49157.500763};{114484.876643, 269865.70291, 49157.500763}
a24591fe-712c-4d13-85b7-d7f3f5755a30;a3a7c2f0-2291-4fbb-9516-64ccd902c043;HQ295*6-15*150-12*402;UPB265(265X1200);S355J2 NM;C45/55;1818;12;90;1200;80;402;1200;80;1200;265;265;307;265;8960.01;1909;{111589.88952, 271965.702214, 49320.005754}|{120549.895627, 271965.69929, 49320.005754};{116284.876598, 271844.701615, 49290.000763}|{116284.876642, 269935.701615, 49290.000763};{116884.876599, 271804.700679, 49157.500763};{115684.876599, 271804.700652, 49157.500763}
8bc43575-3b68-498c-a224-e79c9ac47bff;a3a7c2f0-2291-4fbb-9516-64ccd902c043;UPB265(265X1200);UPB265(265X1200);C45/55;C45/55;12;12;0;-140;-140;1200;1200;1200;1200;265;265;265;265;5860;1909;{116284.877109, 269795.704289, 49290.000763}|{116284.877247, 263935.704289, 49290.000763};{116284.876598, 271844.701615, 49290.000763}|{116284.876642, 269935.701615, 49290.000763};{116884.877108, 269865.702965, 49157.500763};{115684.876643, 269865.702938, 49157.500763}
1a40a686-1328-4f61-9443-895b4d48e982;ebe9ef90-607d-422b-8524-14f52b3e2191;UPB265(265X1200);UPB265(265X1200);C45/55;C45/55;12;12;0;1909;1909;1200;1200;0;0;265;265;265;265;1909;1909;{112684.876598, 271844.701531, 49290.000763}|{112684.876642, 269935.701531, 49290.000763};{111484.876598, 271844.701503, 49290.000763}|{111484.876642, 269935.701503, 49290.000763};{112084.876598, 271844.702471, 49157.500763};{112084.876642, 269935.701517, 49157.500763}
d9861f30-fd07-457e-85db-ab4c74bd5619;ebe9ef90-607d-422b-8524-14f52b3e2191;UPB265(265X1200);UPB265(265X1200);C45/55;C45/55;12;12;0;1909;1909;1200;1200;0;0;265;265;265;265;1909;1909;{110284.876598, 271844.701475, 49290.000763}|{110284.876642, 269935.701475, 49290.000763};{111484.876598, 271844.701503, 49290.000763}|{111484.876642, 269935.701503, 49290.000763};{110884.876598, 271844.699776, 49157.500763};{110884.876642, 269935.701488, 49157.500763}
a24591fe-712c-4d13-85b7-d7f3f5755a30;ebe9ef90-607d-422b-8524-14f52b3e2191;HQ295*6-15*150-12*402;UPB265(265X1200);S355J2 NM;C45/55;1818;12;90;494.99;80;402;1200;80;494.99;265;265;307;265;8960.01;1909;{111589.88952, 271965.702214, 49320.005754}|{120549.895627, 271965.69929, 49320.005754};{111484.876598, 271844.701503, 49290.000763}|{111484.876642, 269935.701503, 49290.000763};{112084.876599, 271804.702244, 49157.500763};{111589.889418, 271804.702233, 49157.500763}
0f5425c4-4e5b-45b0-b110-26e02bcdb900;ebe9ef90-607d-422b-8524-14f52b3e2191;UPB265(265X1200);UPB265(265X1200);C45/55;C45/55;12;12;0;-140;-140;1200;1200;1200;1200;265;265;265;265;5860;1909;{111484.877109, 269795.704176, 49290.000763}|{111484.877247, 263935.704176, 49290.000763};{111484.876598, 271844.701503, 49290.000763}|{111484.876642, 269935.701503, 49290.000763};{112084.877108, 269865.702853, 49157.500763};{110884.876643, 269865.702826, 49157.500763}
1a40a686-1328-4f61-9443-895b4d48e982;a24591fe-712c-4d13-85b7-d7f3f5755a30;UPB265(265X1200);HQ295*6-15*150-12*402;C45/55;S355J2 NM;12;1818;90;80;1200;1200;402;1200;80;265;265;265;307;1909;8960.01;{112684.876598, 271844.701531, 49290.000763}|{112684.876642, 269935.701531, 49290.000763};{111589.88952, 271965.702214, 49320.005754}|{120549.895627, 271965.69929, 49320.005754};{113284.876599, 271804.701853, 49157.500763};{112084.876599, 271804.701825, 49157.500763}
1a40a686-1328-4f61-9443-895b4d48e982;f2c44e7e-4ef2-4b4f-a587-8b89d8b6856f;UPB265(265X1200);UPB265(265X1200);C45/55;C45/55;12;12;0;-140;-140;1200;1200;1200;1200;265;265;265;265;1909;5860;{112684.876598, 271844.701531, 49290.000763}|{112684.876642, 269935.701531, 49290.000763};{112684.877109, 269795.704204, 49290.000763}|{112684.877247, 263935.704204, 49290.000763};{113284.877108, 269865.702881, 49157.500763};{112084.876643, 269865.702854, 49157.500763}
062d2049-e52a-4b82-8b03-e06ef1dddb3f;73e23120-0221-4661-8d3e-44035629d96a;UPB265(265X1200);UPB265(265X1200);C45/55;C45/55;12;12;0;5860;5860;1200;1200;0;0;265;265;265;265;5860;5860;{122284.87783, 263795.69243, 49290.000763}|{122284.877967, 257935.69243, 49290.000763};{123484.87783, 263795.692458, 49290.000763}|{123484.877967, 257935.692458, 49290.000763};{122884.87783, 263795.692444, 49157.500763};{122884.877965, 257935.692444, 49157.500763}
8d59e270-4db3-4cfc-8428-10e3a2c2fc24;d9861f30-fd07-457e-85db-ab4c74bd5619;UPB265(265X1200);UPB265(265X1200);C45/55;C45/55;12;12;0;-140;-140;1200;1200;1200;1200;265;265;265;265;5860;1909;{110284.877109, 269795.704148, 49290.000763}|{110284.877247, 263935.704148, 49290.000763};{110284.876598, 271844.701475, 49290.000763}|{110284.876642, 269935.701475, 49290.000763};{110884.877108, 269865.702825, 49157.500763};{109684.876643, 269865.702798, 49157.500763}
46892bbb-c866-4085-90ed-44bb4305131d;9dc78d71-6a6f-4ac9-85b4-624604a1467a;UPB265(265X1200);UPB265(265X1200);C45/55;C45/55;12;12;0;-140;-140;1200;1200;1200;1200;265;265;265;265;5860;5860;{121084.87783, 263795.692402, 49290.000763}|{121084.877967, 257935.692402, 49290.000763};{121084.877109, 269795.694401, 49290.000763}|{121084.877247, 263935.694401, 49290.000763};{121684.877828, 263865.693415, 49157.500763};{120484.877246, 263865.693388, 49157.500763}
465f5bf9-47f6-4f06-9109-f0bfecf1707f;9dc78d71-6a6f-4ac9-85b4-624604a1467a;UPB265(265X1200);UPB265(265X1200);C45/55;C45/55;12;12;0;5860;5860;1200;1200;0;0;265;265;265;265;5860;5860;{122284.877109, 269795.694429, 49290.000763}|{122284.877247, 263935.694429, 49290.000763};{121084.877109, 269795.694401, 49290.000763}|{121084.877247, 263935.694401, 49290.000763};{121684.877109, 269795.694415, 49157.500763};{121684.877244, 263935.694414, 49157.500763}
7a21ca00-5b95-4767-b176-1db03252dffd;9dc78d71-6a6f-4ac9-85b4-624604a1467a;UPB265(265X1200);UPB265(265X1200);C45/55;C45/55;12;12;0;5860;5860;1200;1200;0;0;265;265;265;265;5860;5860;{119884.877109, 269795.694373, 49290.000763}|{119884.877247, 263935.694373, 49290.000763};{121084.877109, 269795.694401, 49290.000763}|{121084.877247, 263935.694401, 49290.000763};{120484.877109, 269795.694387, 49157.500763};{120484.877244, 263935.694386, 49157.500763}
