GUID1;GUID2;PROFILE1;PROFILE2;MATERIAL1;MATERIAL2;CLASS1;CLASS2;ANGLE;PLANE1_X_OVERLAP;PLANE2_X_OVERLAP;PART1_WDITH;PART2_WDITH;PLANE1_Y_OVERLAP;PLANE2_Y_OVERLAP;PLANE1_Z_OVERLAP;PLANE2_Z_OVERLAP;PART1_HEIGHT;PART2_HEIGHT;PART1_LENGTH;PART2_LENGTH;PART1_POINTS;PART2_POINTS;CONNECTION_FIRST_POINT;CONNECTION_SECOND_POINT;PART1_COG;PART2_COG
7ff17cf6-9d66-4994-ab91-e2782721bbac;be0ab5ac-33ba-4e7b-be9b-05442ba20a24;UPB265(265X1200);3580*250;C45/55;C50/60;12;1;0;1530.01;1530.02;655.09;250;-39.94;-39.98;265;265;265;3580;8400.91;4780.36;{66580.96468, 27039.998357, 26630.000374}|{58229.984681, 27039.906168, 26630.000374};{60050.006958, 26999.923828, 23050.002014}|{54999.986958, 26999.927641, 23050.002014};{59780.00589, 27019.914201, 26497.500374};{58249.989755, 27019.915357, 26497.500374};{62450.443851, 27367.49776, 26497.500374};{57389.825645, 26874.925777, 24840.002014}
7ff17cf6-9d66-4994-ab91-e2782721bbac;b1f3646b-5fd8-42c6-bfed-a63f12cdbbb0;UPB265(265X1200);3580*200;C45/55;C45/55;12;8;90;80.04;655.2;655.09;200;655.09;80.01;265;265;265;3580.11;8400.91;4785.49;{66580.96468, 27039.998357, 26630.000374}|{58229.984681, 27039.906168, 26630.000374};{66570.899878, 29205.700968, 23050.001709}|{66570.891474, 24422.216712, 23050.001709};{66610.899624, 27039.998688, 26497.500374};{66610.892392, 27695.088688, 26497.500374};{62450.443851, 27367.49776, 26497.500374};{66670.895677, 26814.957654, 24840.054862}
af6a5cca-e99d-4fb0-926b-0b190c9ff36c;be446c7c-daf8-4616-9004-0c459adb0a3d;3580*250;UPB265(265X1200);C45/55;C45/55;1;12;90;655.09;80.02;250;655;80.01;655;-20;-20;3580;265;2530;8400.92;{58329.990478, 27019.924286, 26650.002014}|{58329.990478, 29549.924286, 26650.002014};{66580.967007, 27715.088357, 26630.000374}|{58229.987007, 27714.996168, 26630.000374};{58289.994646, 27714.996833, 26640.001194};{58289.987415, 28369.996833, 26640.001194};{58204.990478, 28284.926001, 28440.002014};{62450.444444, 28042.54276, 26497.500374}
0daa8e80-aff2-47ff-8ef7-684c893509bb;be446c7c-daf8-4616-9004-0c459adb0a3d;3580*200;UPB265(265X1200);C45/55;C45/55;8;12;90;655.11;80.05;200;655;80.01;655;-20;-20;3580.11;265;4785.48;8400.92;{66570.899878, 29205.700968, 26650.001709}|{66570.891474, 24422.216712, 26650.001709};{66580.967007, 27715.088357, 26630.000374}|{58229.987007, 27714.996168, 26630.000374};{66610.900809, 27715.088688, 26640.001041};{66610.893579, 28370.088688, 26640.001041};{66670.895677, 26814.958664, 28440.054862};{62450.444444, 28042.54276, 26497.500374}
093210d3-7b72-4f79-9f21-0afd52137acd;be446c7c-daf8-4616-9004-0c459adb0a3d;UPB265(265X1200);UPB265(265X1200);C45/55;C45/55;12;12;0;8400.91;8400.91;1200;655;-20;-20;265;265;265;265;8400.92;8400.92;{66580.993153, 28990.088358, 26630.000374}|{58229.983153, 28989.996168, 26630.000374};{66580.967007, 27715.088357, 26630.000374}|{58229.987007, 27714.996168, 26630.000374};{66650.898299, 28380.089129, 26497.500374};{58249.990589, 28379.996392, 26497.500374};{62450.445515, 28990.04276, 26497.500374};{62450.444444, 28042.54276, 26497.500374}
688b6660-2bb3-4b65-ab22-5ad4b7b356ce;be446c7c-daf8-4616-9004-0c459adb0a3d;3580*250;UPB265(265X1200);C50/60;C45/55;1;12;90;655.09;80.02;250;655;80.01;655;265;265;3580;265;2530;8400.92;{58329.990478, 27019.924286, 23050.002014}|{58329.990478, 29549.924286, 23050.002014};{66580.967007, 27715.088357, 26630.000374}|{58229.987007, 27714.996168, 26630.000374};{58289.994646, 27714.996833, 26497.500374};{58289.987415, 28369.996833, 26497.500374};{58204.990478, 28284.926001, 24840.002014};{62450.444444, 28042.54276, 26497.500374}
b1f3646b-5fd8-42c6-bfed-a63f12cdbbb0;be446c7c-daf8-4616-9004-0c459adb0a3d;3580*200;UPB265(265X1200);C45/55;C45/55;8;12;90;655.11;80.05;200;655;80.01;655;265;265;3580.11;265;4785.49;8400.92;{66570.899878, 29205.700968, 23050.001709}|{66570.891474, 24422.216712, 23050.001709};{66580.967007, 27715.088357, 26630.000374}|{58229.987007, 27714.996168, 26630.000374};{66610.900809, 27715.088688, 26497.500374};{66610.893579, 28370.088688, 26497.500374};{66670.895677, 26814.957654, 24840.054862};{62450.444444, 28042.54276, 26497.500374}
093210d3-7b72-4f79-9f21-0afd52137acd;af6a5cca-e99d-4fb0-926b-0b190c9ff36c;UPB265(265X1200);3580*250;C45/55;C45/55;12;1;90;80.01;1159.93;1200;250;1159.93;80.01;-20;-20;265;3580;8400.92;2530;{66580.993153, 28990.088358, 26630.000374}|{58229.983153, 28989.996168, 26630.000374};{58329.990478, 27019.924286, 26650.002014}|{58329.990478, 29549.924286, 26650.002014};{58289.983524, 28389.995288, 26640.001194};{58289.983524, 29549.92688, 26640.001194};{62450.445515, 28990.04276, 26497.500374};{58204.990478, 28284.926001, 28440.002014}
093210d3-7b72-4f79-9f21-0afd52137acd;0daa8e80-aff2-47ff-8ef7-684c893509bb;UPB265(265X1200);3580*200;C45/55;C45/55;12;8;90;80.07;817.72;1200;200;817.61;80.02;-20;-20;265;3580.11;8400.92;4785.48;{66580.993153, 28990.088358, 26630.000374}|{58229.983153, 28989.996168, 26630.000374};{66570.899878, 29205.700968, 26650.001709}|{66570.891474, 24422.216712, 26650.001709};{66610.908198, 29207.700898, 26640.001041};{66610.906762, 28390.086896, 26640.001041};{62450.445515, 28990.04276, 26497.500374};{66670.895677, 26814.958664, 28440.054862}
093210d3-7b72-4f79-9f21-0afd52137acd;5d2872a2-8066-4f22-9180-4d24cfb33196;UPB265(265X1200);3580*200;C45/55;C45/55;12;8;90;80;366.39;1200;200;366.39;80.02;-20;-20;265;3580.11;8400.92;4783.96;{66580.993153, 28990.088358, 26630.000374}|{58229.983153, 28989.996168, 26630.000374};{66570.908311, 34005.664848, 26650.001709}|{66570.899913, 29225.700968, 26650.001709};{66610.901613, 29223.699107, 26640.001041};{66610.897569, 29590.088688, 26640.001041};{62450.445515, 28990.04276, 26497.500374};{66670.904112, 31615.682732, 28440.054862}
